,Place,Age,Country,Genres,Number of genres,Years active,Gender
2 Chainz,46,46,U.S.,rap,3,26,male
21 Savage,33,31,U.S.,rap,3,10,female
24kGoldn,45,23,U.S.,pop,4,7,male
3OH!3,45,38,U.S.,rock,5,19,male
5 Seconds Of Summer,22,27,Australia,rock,3,12,male
50 Cent,47,48,U.S.,hip hop,1,27,male
6ix9ine,28,27,U.S.,rap,3,11,male
A Boogie Wit da Hoodie,24,28,U.S.,rap,4,8,male
A Great Big World,85,38,U.S.,rock,2,12,male
A$AP Rocky,76,35,U.S.,rap,3,16,male
AC/DC,74,70,Australia,rock,3,50,male
AWOLNATION,64,44,U.S.,rock,6,14,male
Adam Lambert,27,41,U.S.,rock,4,22,male
Adele,1,35,UK,pop,2,17,female
Akon,1,50,U.S.,pop,3,27,male
Alessia Cara,27,27,Canada,pop,2,9,female
Alicia Keys,4,42,U.S.,pop,2,30,female
Aloe Blacc,77,44,U.S.,pop,5,28,male
American Authors,63,33,U.S.,rock,5,17,male
Amy Winehouse,41,28,England,r&b,4,9,female
Anderson .Paak,61,37,U.S.,pop,5,16,male
Andy Grammer,53,40,U.S.,rock,4,16,male
Andy Williams,80,85,U.S.,pop,1,74,male
Arctic Monkeys,89,46,England,rock,5,21,male
Ariana Grande,2,30,U.S.,pop,2,15,female
Austin Mahone,72,27,U.S.,pop,3,13,male
Ava Max,59,29,U.S.,pop,2,10,female
Avicii,32,29,Sweden,electro,2,12,male
Avril Lavigne,8,39,Canada,rock,5,24,female
B.o.B,14,35,U.S.,rock,4,17,male
BTS,8,28,South Korea,pop,4,10,male
Baauer,23,34,U.S.,rap,3,12,male
Baby Keem,92,23,U.S.,rap,4,6,male
Backstreet Boys,83,47,U.S.,pop,3,30,male
Bad Bunny,1,29,Puerto Rico,rap,6,10,male
Bebe Rexha,34,34,U.S.,pop,1,13,female
Becky G,92,26,U.S.,pop,8,15,female
Beyonce,2,42,U.S.,pop,3,26,male
Big Sean,32,35,U.S.,hip hop,1,16,male
Billie Eilish,3,22,U.S.,pop,3,8,female
Billy Currington,72,50,U.S.,rock,3,27,male
Billy Joel,69,74,U.S.,rock,2,59,male
Blake Shelton,16,47,U.S.,country,1,22,male
BlocBoy JB,77,27,U.S.,rap,3,11,male
Blueface,77,26,U.S.,rap,3,6,male
